"","year","est","lwr","upr","log_est","se","sub_div","species","est_t","lwr_t","upr_t"
"79",2017,1678346.01200227,1310632.47786314,2196653.84826248,14.3309295515551,0.145781978225049,"26","cod",1678.34601200227,1310.63247786314,2196.65384826248
"80",2018,377287.427938825,236185.295404264,650983.233649831,12.8367210424251,0.257481107712497,"26","cod",377.287427938825,236.185295404264,650.983233649832
"81",2019,548179.207419069,321679.145121725,1372678.51621617,13.2779359686998,0.355789228201161,"26","cod",548.179207419069,321.679145121725,1372.67851621617
"82",1993,190654.779505668,65819.1272284661,567110.039815473,12.2665408826189,0.68073510891962,"27","cod",190.654779505669,65.8191272284661,567.110039815473
"83",1994,151263.708979659,63938.5562118893,608759.506517625,12.0473158751376,0.702163753796122,"27","cod",151.263708979659,63.9385562118893,608.759506517625
"84",1995,295984.244747779,116443.836265661,748030.831565931,12.6251620493389,0.704737275296968,"27","cod",295.984244747779,116.443836265661,748.030831565931
"85",1996,116867.346772828,59600.6577905307,314713.61220222,11.773667800886,0.652414904401456,"27","cod",116.867346772828,59.6006577905307,314.71361220222
"86",1997,45014.4797698293,20441.5670506239,191297.369003578,10.8042782176466,0.664762458018008,"27","cod",45.0144797698293,20.4415670506239,191.297369003578
"87",1998,51105.165388121,20533.6795140005,134853.616643831,10.8319277549946,0.626571006179603,"27","cod",51.105165388121,20.5336795140005,134.853616643831
"88",1999,48200.2639283138,18024.9928225568,173181.676507925,10.8324740692891,0.617641230231039,"27","cod",48.2002639283138,18.0249928225568,173.181676507925
"89",2000,86866.7280974895,35172.8061421077,209380.530628042,11.398195499833,0.573843808068771,"27","cod",86.8667280974895,35.1728061421077,209.380530628042
"90",2001,198101.147344308,101498.33969809,409004.965488394,12.2105061359585,0.577914300798775,"27","cod",198.101147344308,101.49833969809,409.004965488394
"91",2002,356315.696045934,186583.97793404,874212.558675543,12.8511837473058,0.522516544919951,"27","cod",356.315696045934,186.58397793404,874.212558675543
"92",2003,41703.9831538395,16277.6738003347,96802.4212753037,10.630814009012,0.55660985055059,"27","cod",41.7039831538395,16.2776738003347,96.8024212753037
"93",2004,66697.3986462095,23503.7689134625,283253.007498538,11.1336975011129,0.657617958778943,"27","cod",66.6973986462095,23.5037689134625,283.253007498538
"94",2005,171352.510344914,77514.388136329,416051.469912831,12.0310321423767,0.518016009707462,"27","cod",171.352510344914,77.514388136329,416.051469912832
"95",2006,97223.3225137457,44665.6068290628,240043.736089947,11.5418136762932,0.529396700202391,"27","cod",97.2233225137457,44.6656068290628,240.043736089947
"96",2007,84774.6816295373,39788.405170873,206260.999652062,11.3870154602451,0.604384511232394,"27","cod",84.7746816295373,39.788405170873,206.260999652062
"97",2008,111089.818949245,62397.7703885457,266510.526089389,11.6667429065717,0.571561039860162,"27","cod",111.089818949245,62.3977703885457,266.510526089389
"98",2009,127219.086197788,57382.3344940537,263878.880989534,11.7723341004949,0.629937463111795,"27","cod",127.219086197788,57.3823344940538,263.878880989534
"99",2010,50166.6751108029,22620.5100900078,181541.000984261,10.924012355481,0.794183317900676,"27","cod",50.1666751108029,22.6205100900078,181.541000984261
"100",2011,12120.0715180129,4833.44818569404,49153.8071651639,9.51050368663035,0.791600533764607,"27","cod",12.1200715180129,4.83344818569404,49.1538071651639
"101",2012,9154.28492118736,2970.6940205838,36342.5531621235,9.15877117611568,0.755555903782003,"27","cod",9.15428492118736,2.9706940205838,36.3425531621235
"102",2013,18873.6305437111,5939.31962283459,64491.1459865778,9.82986997824363,0.752703311563711,"27","cod",18.8736305437111,5.93931962283459,64.4911459865778
"103",2014,18533.8132241161,8138.51521783501,96203.83032462,9.90268004416176,0.651853012742694,"27","cod",18.5338132241161,8.13851521783501,96.20383032462
